,Fuel Type Code,Station Name,State,ZIP,Latitude,Longitude
63783,ELEC,Ontario Charging Network,ON,K0K 1H0,45.3980814,-75.6232135
63784,ELEC,Ontario Charging Network,ON,P0P 1J0,45.908367,-82.2594922
63785,ELEC,Ontario Charging Network,ON,P0P 1H0,45.9171568,-82.4656669
63786,ELEC,Oshawa Power and Utilities Corp,ON,L1H 3Z3,43.89606,-78.86638
63787,ELEC,Oshawa Power and Utilities Corp,ON,L1J 7Z9,43.862439,-78.832422
63788,ELEC,Oshawa Power and Utilities Corp,ON,L1G 0C5,43.948383,-78.89443
63789,ELEC,Oshawa Power and Utilities Corp,ON,L1G 0C6,43.95056,-78.89821
63790,ELEC,Ottawa River Energy Solutions,ON,K8A 4L8,45.8259735107421,-77.1175842285156
63791,ELEC,Ottawa River Energy Solutions,ON,K0A 1A0,45.222728729248,-76.2009963989257
63792,ELEC,Ottawa River Energy Solutions,ON,K0A 1A0,45.2222753,-76.1963737
63793,ELEC,Quadreal Property Group G.P. Inc,BC,V6E 1V8,49.2853872,-123.1266874
63794,ELEC,Quadreal Property Group G.P. Inc,BC,V5M 4X3,49.2615273,-123.0442556
63795,ELEC,BC Hydro,BC,V8W 2A4,48.425577,-123.366473
63796,ELEC,Quadreal Property Group G.P. Inc,BC,V6C 3P6,49.2849956,-123.121177
63797,ELEC,Recipe Unlimited Corp,ON,M3C 0H2,43.7337757,-79.3446363
63798,ELEC,Recipe Unlimited Corp,ON,M8Z 6C7,43.6229395,-79.5164762
63799,ELEC,Recipe Unlimited Corp,ON,N1L 0A8,43.4996571,-80.1899034
63800,ELEC,Recipe Unlimited Corp,ON,K6J 4P5,45.0505583,-74.7716006
63801,ELEC,Recipe Unlimited Corp,ON,L6L 0B7,43.3924366,-79.7520166
63802,ELEC,Recipe Unlimited Corp,ON,L6J 7S8,43.4625497,-79.6742106
63803,ELEC,Recipe Unlimited Corp,ON,M3C 0H1,43.73367,-77.5731037
63804,ELEC,Recipe Unlimited Corp,ON,L7L 1V1,43.3673,-79.7533224
63805,ELEC,Recipe Unlimited Corp,ON,L1N 9S2,43.8692493,-78.9140134
63806,ELEC,Recipe Unlimited Corp,ON,L4B 4L9,43.8440627,-79.4113424
63807,ELEC,Recipe Unlimited Corp,ON,L7P 5C6,43.3426335,-79.8238988
63808,ELEC,Recipe Unlimited Corp,ON,L5R 3T2,43.6151628,-79.6806456
63809,ELEC,Recipe Unlimited Corp,ON,L3Y 4V8,44.0234588,-79.4731417
63810,ELEC,Recipe Unlimited Corp,ON,K2C 4B1,45.352023,-75.783816
63811,ELEC,Recipe Unlimited Corp,ON,L6L 0B7,43.3948628,-79.7522268
63812,ELEC,Recipe Unlimited Corp,ON,M9W 1J1,43.6908424,-79.5763935
63813,ELEC,Recipe Unlimited Corp,ON,N2T 0A6,43.4394943,-80.563286
63814,ELEC,Recipe Unlimited Corp,ON,L4N 6N5,44.3363936,-79.6809928
63815,ELEC,Recipe Unlimited Corp,ON,L5L 5Y3,43.516814,-79.6888483
63816,ELEC,RL Énergies,QC,G7N 1V8,48.3154526,-71.1378425
63817,ELEC,RL Énergies,QC,G7H 1K4,48.4292528,-71.068074
63818,ELEC,RL Énergies,QC,G7G 2G6,48.4520861,-71.0972595
63819,ELEC,RL Énergies,QC,G8B 5P2,48.5576261,-71.6489051
63820,ELEC,RL Énergies,QC,G8P 1R2,49.911833,-74.3872197
63821,ELEC,RL Énergies,QC,G8L 1Z2,48.8828065,-72.2325252
63822,ELEC,RL Énergies,QC,G7X 3B3,48.4122932,-71.2355171
63823,ELEC,RL Énergies,QC,G7B 1C5,48.3262473,-70.8753239
63824,ELEC,RL Énergies,QC,G9X 2G6,47.442414,-72.7779465
63825,ELEC,RL Énergies,QC,G0W 2L0,48.4681469,-71.6512076
63826,ELEC,RL Énergies,QC,G0V 1M0,48.2774605,-70.6337774
63827,ELEC,Shell Canada Ltd,BC,V4X 1G2,49.0557866983106,-122.381935214992
63828,ELEC,Shell Canada Ltd,ON,L9K 1J3,43.2269513623761,-79.9477899611734
63829,ELEC,Shell Canada Ltd,ON,L1C 7B5,43.8974234374436,-78.6900066304665
63830,ELEC,Shell Canada Ltd,ON,L6R 2R8,43.7309074853011,-79.7597898196876
63831,ELEC,Shell Canada Ltd,MB,R7C 1A7,49.8861364713567,-99.9607114879891
63832,ELEC,Shell Canada Ltd,ON,L7L 5H9,43.3875971542259,-79.7804524771036
63833,ELEC,Shell Canada Ltd,AB,T3K 5Y7,51.1538367617304,-114.028774032208
63834,ELEC,Shell Canada Ltd,BC,V2R 0R5,49.1516772733875,-121.976776459172
63835,ELEC,Shell Canada Ltd,AB,T0L 0T0,50.0202180879876,-113.57806604802
63836,ELEC,Shell Canada Ltd,AB,T4C 0V9,51.1592044624093,-114.47138413444
63837,ELEC,Shell Canada Ltd,AB,T5T 5X9,53.5363377593248,-113.688349600536
63838,ELEC,Shell Canada Ltd,BC,V0A 1H0,51.3154097971429,-116.973932814457
63839,ELEC,Shell Canada Ltd,ON,L9S 4A3,44.2861583403553,-79.6725566598014
